# Depth(m), Pressure(Pa), Temperature(K), X_H2O, X_CH4, X_C2H6, X_CO, X_CO2
1.53147952e+05 3.00005123e+06 4.68839141e+02 8.37654933e-03 2.02575707e-03 6.71631159e-11 1.68893880e-10 4.45776176e-12
1.62928533e+05 3.43961793e+06 4.88201691e+02 8.37654932e-03 2.02575706e-03 6.87647375e-11 1.75184236e-10 4.63430049e-12
1.72709114e+05 3.92334205e+06 5.07577864e+02 8.37654931e-03 2.02575704e-03 7.18261262e-11 1.87264236e-10 4.97397818e-12
1.82489695e+05 4.45280727e+06 5.26939828e+02 8.37654929e-03 2.02575702e-03 7.62269397e-11 2.04762642e-10 5.46757371e-12
1.92270276e+05 5.03075923e+06 5.46296433e+02 8.37654926e-03 2.02575698e-03 8.18633502e-11 2.27407444e-10 6.10911414e-12
2.02050856e+05 5.65963557e+06 5.65645813e+02 8.37654924e-03 2.02575694e-03 8.86435364e-11 2.54998150e-10 6.89503258e-12
2.11831437e+05 6.34193594e+06 5.84986883e+02 8.37654920e-03 2.02575689e-03 9.64840010e-11 2.87381804e-10 7.82344020e-12
2.21612018e+05 7.08023958e+06 6.04319183e+02 8.37654916e-03 2.02575684e-03 1.05306255e-10 3.24430877e-10 8.89345327e-12
2.31392599e+05 7.87713332e+06 6.23641477e+02 8.37654912e-03 2.02575677e-03 1.15033999e-10 3.66023541e-10 1.01045852e-11
2.41173180e+05 8.73525167e+06 6.42952609e+02 8.37654907e-03 2.02575671e-03 1.25590777e-10 4.12026280e-10 1.14561972e-11
2.50953760e+05 9.65726212e+06 6.62251311e+02 8.37654902e-03 2.02575663e-03 1.36898064e-10 4.62278849e-10 1.29470060e-11
2.60734341e+05 1.06458697e+07 6.81536236e+02 8.37654896e-03 2.02575655e-03 1.48873815e-10 5.16581820e-10 1.45746511e-11
2.70514922e+05 1.17038186e+07 7.00805969e+02 8.37654890e-03 2.02575647e-03 1.61431472e-10 5.74687021e-10 1.63353258e-11
2.80295503e+05 1.28338909e+07 7.20059024e+02 8.37654883e-03 2.02575638e-03 1.74479420e-10 6.36290554e-10 1.82234789e-11
2.90076084e+05 1.40389051e+07 7.39293879e+02 8.37654876e-03 2.02575628e-03 1.87920985e-10 7.01034155e-10 2.02315847e-11
2.99856664e+05 1.53217184e+07 7.58509006e+02 8.37654869e-03 2.02575619e-03 2.01655289e-10 7.68511592e-10 2.23499913e-11
3.09637245e+05 1.66852283e+07 7.77702878e+02 8.37654862e-03 2.02575609e-03 2.15580395e-10 8.38299815e-10 2.45668282e-11
3.19417826e+05 1.81323731e+07 7.96873964e+02 8.37654854e-03 2.02575598e-03 2.29603856e-10 9.10038364e-10 2.68679608e-11
3.29198407e+05 1.96661296e+07 8.16020731e+02 8.37654846e-03 2.02575588e-03 2.43676963e-10 9.83621726e-10 2.92369881e-11
3.38978988e+05 2.12895149e+07 8.35141673e+02 8.37654838e-03 2.02575577e-03 2.57896485e-10 1.05967945e-09 3.16553844e-11
3.48759568e+05 2.30055885e+07 8.54235325e+02 8.37654829e-03 2.02575566e-03 2.72771524e-10 1.14054963e-09 3.41036059e-11
3.58540149e+05 2.48174531e+07 8.73300281e+02 8.37654820e-03 2.02575553e-03 2.89799797e-10 1.23226419e-09 3.65658236e-11
3.68320730e+05 2.67282534e+07 8.92335184e+02 8.37654807e-03 2.02575536e-03 3.12365771e-10 1.34807319e-09 3.90461661e-11
3.78101311e+05 2.87411755e+07 9.11338728e+02 8.37654790e-03 2.02575513e-03 3.46274217e-10 1.51385883e-09 4.16145208e-11
3.87881892e+05 3.08594505e+07 9.30309672e+02 8.37654763e-03 2.02575476e-03 3.98171837e-10 1.77483200e-09 4.45115037e-11
3.97662472e+05 3.30863552e+07 9.49246849e+02 8.37654720e-03 2.02575418e-03 4.71410885e-10 2.20117326e-09 4.83316632e-11
4.07443053e+05 3.54252111e+07 9.68149181e+02 8.37654650e-03 2.02575329e-03 5.64423410e-10 2.88930157e-09 5.42184041e-11
4.17223634e+05 3.78793832e+07 9.87015672e+02 8.37654540e-03 2.02575199e-03 6.74848328e-10 3.95812406e-09 6.38404059e-11
4.27004215e+05 4.04522836e+07 1.00584541e+03 8.37654378e-03 2.02575012e-03 8.02106248e-10 5.54585548e-09 7.89328334e-11
4.36784796e+05 4.31473719e+07 1.02463755e+03 8.37654146e-03 2.02574753e-03 9.46987772e-10 7.81487630e-09 1.00727954e-10
4.46565376e+05 4.59681551e+07 1.04339136e+03 8.37653825e-03 2.02574401e-03 1.11086044e-09 1.09637554e-08 1.30021142e-10
4.56345957e+05 4.89181858e+07 1.06210615e+03 8.37653389e-03 2.02573931e-03 1.29518137e-09 1.52369108e-08 1.67782251e-10
4.66126538e+05 5.20010649e+07 1.08078136e+03 8.37652810e-03 2.02573313e-03 1.50141674e-09 2.09263416e-08 2.15324555e-10
4.75907119e+05 5.52204435e+07 1.09941645e+03 8.37652052e-03 2.02572512e-03 1.73103117e-09 2.83749527e-08 2.73922131e-10
4.85687700e+05 5.85800215e+07 1.11801102e+03 8.37651074e-03 2.02571487e-03 1.98548022e-09 3.79899449e-08 3.45023546e-10
4.95468280e+05 6.20835461e+07 1.13656469e+03 8.37649829e-03 2.02570190e-03 2.26620292e-09 5.02503809e-08 4.30390939e-10
5.05248861e+05 6.57348147e+07 1.15507716e+03 8.37648261e-03 2.02568563e-03 2.57461475e-09 6.57073625e-08 5.31956011e-10
5.15029442e+05 6.95376768e+07 1.17354819e+03 8.37646306e-03 2.02566544e-03 2.91210083e-09 8.49855333e-08 6.51757595e-10
5.24810023e+05 7.34960319e+07 1.19197759e+03 8.37643894e-03 2.02564061e-03 3.28000975e-09 1.08784920e-07 7.91920307e-10
5.34590604e+05 7.76138281e+07 1.21036525e+03 8.37640948e-03 2.02561035e-03 3.67964761e-09 1.37881765e-07 9.54635439e-10
5.44371184e+05 8.18950663e+07 1.22871107e+03 8.37637380e-03 2.02557379e-03 4.11227264e-09 1.73128077e-07 1.14213991e-09
